,hour,minute,price,amount,menu_name
217,11,58,520,1,10
218,11,58,210,1,10
219,11,58,340,1,18
220,12,0,220,1,8
221,12,0,110,1,10
222,12,0,110,1,10
223,12,0,110,1,10
224,12,0,110,1,10
225,12,2,300,1,25
226,12,2,310,1,10
227,12,3,400,1,24
228,12,3,150,1,10
229,12,3,200,1,26
230,12,3,600,1,10
231,12,4,350,1,10
232,12,4,390,1,10
233,12,4,780,1,10
234,12,4,110,1,10
235,12,4,100,1,23
236,12,4,570,1,10
237,12,5,110,1,11
238,12,5,150,1,10
239,12,5,80,1,36
240,12,5,400,1,24
241,12,5,400,1,24
242,12,5,110,1,10
243,12,6,230,1,10
244,12,6,360,1,10
245,12,6,190,1,15
246,12,6,250,1,3
247,12,6,690,1,10
248,12,6,60,1,35
249,12,6,390,1,10
250,12,6,190,1,15
251,12,6,780,1,1
252,12,7,600,1,10
253,12,7,100,1,23
254,12,7,220,1,8
255,12,7,110,1,11
256,12,7,110,1,10
257,12,7,260,1,10
258,12,7,80,1,36
259,12,7,580,1,10
260,12,8,510,1,10
261,12,8,780,1,1
262,12,9,230,1,10
263,12,9,160,1,28
264,12,9,120,1,17
265,12,9,680,1,10
266,12,11,570,1,10
267,12,12,770,1,10
268,12,12,110,1,14
269,12,12,220,1,8
270,12,12,30,1,33
271,12,12,110,1,10
272,12,12,110,1,10
273,12,12,260,1,10
274,12,13,220,1,8
275,12,13,260,1,10
276,12,13,250,1,10
277,12,13,110,1,10
278,12,13,110,1,10
279,12,13,220,1,8
280,12,13,100,1,23
281,12,13,30,1,33
282,12,13,60,1,35
283,12,13,260,1,10
284,12,13,110,1,10
285,12,13,110,1,10
286,12,13,110,1,10
287,12,13,510,1,7
288,12,14,760,1,10
289,12,14,80,1,36
290,12,16,200,1,26
291,12,16,310,1,29
292,12,17,510,1,10
293,12,17,120,1,17
294,12,17,780,1,1
295,12,17,600,1,10
296,12,17,510,1,10
297,12,17,160,1,28
298,12,18,190,1,15
299,12,18,680,1,10
300,12,18,220,1,8
301,12,18,100,1,23
302,12,18,60,1,35
303,12,18,110,1,10
304,12,18,110,1,10
305,12,18,260,1,10
306,12,20,220,1,8
307,12,20,30,1,33
308,12,20,110,1,10
309,12,20,110,1,10
310,12,20,260,1,10
311,12,20,580,1,10
312,12,20,120,1,5
313,12,20,300,1,10
314,12,20,500,1,10
315,12,20,30,1,33
316,12,20,220,1,8
317,12,20,30,1,33
318,12,20,110,1,10
319,12,20,110,1,10
320,12,20,260,1,10
321,12,21,220,1,8
322,12,21,100,1,23
323,12,21,80,1,36
324,12,21,190,1,10
325,12,21,110,1,10
326,12,21,780,1,10
327,12,21,300,1,25
328,12,21,600,1,10
329,12,21,270,3,10
330,12,21,690,1,10
331,12,21,120,1,5
332,12,21,100,1,2
333,12,21,770,1,10
334,12,22,280,1,10
335,12,22,230,1,10
336,12,22,400,1,24
337,12,22,310,1,10
338,12,22,30,1,33
339,12,22,10,1,32
340,12,22,10,1,32
341,12,22,580,1,10
342,12,23,780,1,1
343,12,23,120,1,17
344,12,23,700,1,10
345,12,23,30,1,33
346,12,23,100,1,23
347,12,23,30,1,3
348,12,23,600,1,10
349,12,23,120,1,10
350,12,23,510,1,7
351,12,24,600,1,10
352,12,24,150,1,10
353,12,26,570,1,10
354,12,26,680,1,10
355,12,27,510,2,7
356,12,27,200,1,26
357,12,27,600,1,10
358,12,27,600,1,10
359,12,27,500,1,30
360,12,27,30,1,33
361,12,27,600,1,10
362,12,27,10,1,32
363,12,27,100,1,23
364,12,28,300,1,25
365,12,28,300,1,25
366,12,28,110,1,10
367,12,28,110,1,11
368,12,28,260,1,10
369,12,28,230,1,10
370,12,28,10,1,32
371,12,28,10,1,32
372,12,28,10,1,32
373,12,28,10,1,32
374,12,28,580,1,10
375,12,28,60,1,35
376,12,28,100,1,10
377,12,28,290,1,16
378,12,29,230,1,10
379,12,29,120,1,17
380,12,29,250,1,21
381,12,29,600,1,10
382,12,29,10,1,32
383,12,29,220,1,8
384,12,29,60,1,35
385,12,29,110,1,10
386,12,29,110,1,10
387,12,29,260,1,10
388,12,29,690,1,10
389,12,29,210,1,10
390,12,30,150,1,10
391,12,30,260,1,10
392,12,30,200,1,26
393,12,30,230,1,10
394,12,30,110,1,10
395,12,30,110,1,10
396,12,30,580,1,10
397,12,30,400,1,24
398,12,30,80,1,36
399,12,30,510,1,7
400,12,30,570,1,10
401,12,30,220,1,8
402,12,30,50,1,10
403,12,30,110,1,10
404,12,30,190,1,10
405,12,30,260,1,10
406,12,30,570,1,31
407,12,31,600,1,10
408,12,31,100,1,23
409,12,31,510,1,10
410,12,31,120,1,5
411,12,31,580,1,10
412,12,31,100,1,23
